,Author,summaries
13,Anqi Wu,"Anqi Wu is a researcher with a broad range of interests in artificial intelligence, machine learning, and computational neuroscience. Their research contributions span various areas, including anomaly detection, Bayesian inference, deep learning, and neural networks. 

Some of their notable research contributions include developing novel methods for neural dynamics discovery, such as Gaussian process recurrent neural networks, and applying probabilistic graphical models to fMRI data analysis. They have also explored the use of variational inference and importance sampling in machine learning and neuroscience applications. Additionally, their work on semi-supervised learning and transfer learning has shown promise in improving behavioral segmentation and animal pose tracking. Furthermore, they have made contributions to the development of novel methods for neural signal processing, such as convolutional spike-triggered covariance analysis, and the application of machine learning to neuroscience, including the analysis of neural population activity and brain decoding."
14,"Ashok K. Goel, Ashok Goel","Ashok K. Goel is a prominent researcher in the field of Artificial Intelligence, with a focus on AI Ethics, Analogical Reasoning, and Biologically Inspired Design. His research contributions span multiple areas, including Design, Cognitive Science, and Computer Science. Goel's work emphasizes the importance of understanding complex systems and developing innovative design methods that incorporate analogical reasoning and biologically inspired design principles.

Goel's notable publications demonstrate his expertise in areas such as Design Automation, Design Patterns, and Knowledge Representation. His research has explored the use of case-based reasoning, model-based reasoning, and analogical design to support adaptive design problem-solving. Additionally, Goel has investigated the application of AI in education, including the development of virtual teaching assistants like Jill Watson. His work has also touched on AI Ethics, with studies on grounding AI ethics in empirical studies and analyzing political decision-making from an information-processing perspective. Overall, Goel's research has had a significant impact on the fields of AI, Design, and Cognitive Science, and his contributions continue to shape the development of innovative design methods and AI applications."
15,Ashutosh Dhekne,"Ashutosh Dhekne's research contributions span a wide range of areas, including 3D Modeling, Artificial Intelligence, Augmented Reality, Biometric Authentication, Computer Vision, Edge Computing, Human-Computer Interaction, Internet of Things (IoT), Localization, Machine Learning, Mobile Computing, Network Communication, Physical Security, Robotics, Signal Processing, Ultra-Wideband (UWB) Technology, and Wireless Communication. His work focuses on developing innovative solutions for various applications, such as sports analytics, elderly care, and physical security.

Some of his notable publications include ""Esense: Communication through energy sensing,"" ""LiquID: A Wireless Liquid IDentifier,"" ""Bringing IoT to Sports Analytics,"" and ""Extending cell tower coverage through drones."" His research has explored the use of UWB technology for indoor localization, authentication, and tracking, as well as the development of edge computing and IoT platforms for various applications. Dhekne's work has also addressed issues related to security, such as spoofing detection and physical security systems. His contributions have the potential to impact various fields, including healthcare, transportation, and retail management, and have the potential to improve the quality of life for individuals and communities."
16,B. Aditya Prakash,"B. Aditya Prakash is a researcher with a broad range of interests in algorithm design, complex systems, computational complexity, and network science. His work focuses on developing scalable algorithms for analyzing and modeling complex networks, with applications in epidemiology, cybersecurity, and social media analysis. 

Some of his notable contributions include developing methods for predicting the spread of epidemics, designing efficient algorithms for network immunization, and creating frameworks for real-time forecasting of COVID-19 mortality. His work also explores the intersection of machine learning and network science, with applications in anomaly detection, influence analysis, and time series forecasting. Prakash's research has been recognized through numerous publications in top-tier conferences and journals, with a significant impact on the fields of network science, epidemiology, and cybersecurity."
17,Betsy DiSalvo,"Betsy DiSalvo is a researcher with a diverse range of interests and contributions to the fields of Human-Computer Interaction (HCI), Computer Science Education, and Learning Sciences. Her research focuses on designing technologies that promote access to education, particularly for underrepresented groups, and addressing issues of diversity and inclusion in computing. Key areas of her research include participatory design, assets-based design, and community engagement, which aim to empower marginalized communities and promote social change.

DiSalvo's notable publications highlight her work on designing technologies for learning, such as gamification, chatbots, and augmented reality, as well as her research on the intersection of technology and social issues, including cultural studies, critical race theory, and socio-economic inequality. Her work has also explored the role of parents and communities in supporting learning, particularly in low-resource contexts. Through her research, DiSalvo seeks to promote inclusive and equitable access to education and computing, and to develop technologies that support social justice and community development. Her contributions have had a significant impact on the field of HCI and Computer Science Education, and have inspired new approaches to designing technologies for learning and social change."
18,Bistra Dilkina,"Bistra Dilkina is a researcher with a broad range of interests in artificial intelligence, machine learning, and optimization. Her work spans various domains, including conservation biology, urban planning, and public health informatics. Key areas of focus include developing algorithms for combinatorial optimization, designing machine learning approaches for complex problems, and applying AI to real-world challenges such as climate change, energy efficiency, and wildlife conservation.

Dilkina's notable contributions include developing machine learning approaches for estimating commercial building energy consumption, learning to branch in mixed integer programming, and designing scalable diffusion-aware optimization of network topology. Her work also explores the application of AI in conservation biology, such as predicting fire risk and prioritizing fire inspections, and developing a simulation environment for wildlife conservation with UAVs. Additionally, she has investigated the use of AI in public health informatics, including learning to prescribe interventions for tuberculosis patients using digital adherence data. Overall, Dilkina's research has a significant impact on the field of artificial intelligence, machine learning, and optimization, and has the potential to drive positive change in various domains."
19,Bo Dai,"Bo Dai is a researcher with a broad range of interests in Artificial Intelligence, Machine Learning, and Computer Vision. His key research areas include Active Learning, Approximate Inference, Approximate sampling algorithms, Bayesian Methods, Deep Learning, Deep generative models, Graph neural networks, Graphical models, Markov Decision Processes, Meta Learning, Nonparametric learning, Optimization, Reinforcement Learning, and Variational inference.

Bo Dai has made significant contributions to the field through his notable publications. Some of his notable works include developing scalable kernel methods, proposing behavior-agnostic estimation of discounted stationary distribution corrections, and introducing policy gradient from arbitrary experience. His research has also focused on reinforcement learning, including off-policy evaluation, imitation learning, and universal policies via text-guided video generation. Additionally, he has explored applications in computer vision, such as retrosynthesis prediction and graph logic networks, as well as in natural language processing, including multi-hop question answering on knowledge graphs.

Bo Dai's research has had a significant impact within his field, with many of his papers receiving high citation counts. His work has been recognized for its contributions to scalable and efficient machine learning algorithms, as well as its applications in various domains. His research has also been influential in the development of new methods for reinforcement learning, graph neural networks, and variational inference. Overall, Bo Dai's research has had a lasting impact on the field of Artificial Intelligence and Machine Learning."
20,Bo Zhu,"Bo Zhu's research contributions span a wide range of areas, including 3D printing, additive manufacturing, computational fluid dynamics, artificial intelligence, and biomedical engineering. His work focuses on developing novel methods and algorithms for simulating complex physical phenomena, such as fluid dynamics, solid-fluid interaction, and topology optimization.

Some of his notable research areas include adaptive grids and mesh refinement, which enable efficient and accurate simulations of complex systems. He has also made significant contributions to the development of machine learning and deep learning techniques for fluid dynamics and topology optimization. His work on neural networks and physics-informed learning has led to the creation of novel methods for simulating complex systems, such as the Clebsch gauge fluid and the neural vortex method. Additionally, he has explored the application of his methods to real-world problems, such as 3D printing, biomedical engineering, and robotics.

Bo Zhu's research has been published in numerous papers, including ""Two-scale topology optimization with microstructures,"" ""Computational discovery of extremal microstructure families,"" and ""Learning to fly: computational controller design for hybrid uavs with reinforcement learning."" His work has been cited over 1,000 times, indicating a significant impact on his field. Overall, Bo Zhu's research has made important contributions to the development of novel methods and algorithms for simulating complex physical phenomena, and has the potential to drive innovation in a wide range of fields."
21,Brendan D. Saltaformaggio,"Brendan D. Saltaformaggio is a researcher with a broad range of interests in cybersecurity, artificial intelligence, and computer systems. His key research areas include Android security, malware analysis, memory forensics, and cloud security. He has made significant contributions to the field through his work on automated malware analysis pipelines, memory bus covert channels, and hypervisor-based solutions for memory bus security.

Notable publications include ""Hercule: Attack story reconstruction via community discovery on correlated log graph,"" which explores the use of community discovery on correlated log graphs for attack story reconstruction, and ""iRiS: Vetting Private API Abuse in iOS Applications,"" which presents a system for vetting private API abuse in iOS applications. His work on ""GUITAR: Piecing together android app GUIs from memory images"" and ""VCR: App-Agnostic Recovery of Photographic Evidence from Android Device Memory Images"" demonstrates his expertise in digital forensics and memory analysis. Saltaformaggio's research has a significant impact on the field of cybersecurity, with applications in malware detection, memory forensics, and cloud security. His work has the potential to improve the security and reliability of computer systems, and his contributions to the field are expected to continue to grow in the future."
22,Brian Magerko,"Brian Magerko is a researcher with a diverse range of interests and contributions in the fields of Artificial Intelligence, Human-Computer Interaction, and Education. His work spans various areas, including 3D Virtual Environments, Accessibility, Adaptive Learning, Agent-Based Systems, Algorithmic Music Composition, Ambient Displays, and Artificial Intelligence. 

Magerko's research has focused on developing innovative technologies and methodologies to enhance learning experiences, particularly in the areas of STEAM education and computer science education. His notable contributions include the development of EarSketch, a web-based platform for teaching computational music remixing, and the creation of interactive drama architectures for educational purposes. He has also explored the use of co-creative AI, ambient displays, and persuasive design to promote sustainable lifestyles and environmental awareness. Magerko's work has been recognized for its potential to engage underrepresented groups in computing and to promote creativity and collaboration in learning environments. His research has been published in various top-tier conferences and journals, and he has received numerous awards and recognition for his contributions to the field."
23,Bruce N. Walker,"Bruce N. Walker's research contributions span a wide range of areas, including Accessibility, Acoustics, Affective Computing, Anthropology, Artificial Intelligence, Assistive Technology, Audio Processing, Auditory Cues, Auditory Display, Augmented Reality, Automated Vehicles, Bayesian inference, Bone Conduction, Cognition, Cognitive Load, Cognitive Psychology, Computer Science, Computer Vision, Contextual Design, Data Analysis, Data Sonification, Data Visualization, Decision Support Systems, Deep learning, Dermatological imaging, Driver Behavior, Driver Distraction, Driving Behavior, Ecological psychology, Emotion Detection, Emotion Recognition, Factor Analysis, Geographic Information Systems, Gesture Recognition, Graph design, Graphics, Graphics Display, Hearing, Human Factors, Human Factors engineering, Human-Computer Interaction, In-Vehicle Technologies, Information Exchange, Information Technology, Learning Algorithms, Localization, Machine Learning, Magnitude estimation, Memory Management, Mobile Computing, Multimodal Interaction, Multitasking, Music Information Retrieval, Navigation Systems, Navigation Systems, Non-Graphical User Interfaces, Olfactory Stimulation, Participatory Design, Particle filters, Perceivability, Psychoacoustics, Psychology, Psychophysics, Registration Algorithms, Registration Error, Risk Perception, Risk Perception, Robotics, Scientific Visualization, Sensing Technology, Sensor measurements, Signal Processing, Situation Awareness, Situation Awareness, Sonification, Sonification, Sonification, Sonification, Sonification Techniques, Sound Design, Sound Detection, Sound representation, Spatial Audio, Spatial separation, Speech Interface Design, Speech Processing, Speech Processing, Speech Synthesis, Speech perception, Speech-Based Interfaces, Tracking Technology, Trust Modeling, Trust in Automated Systems, Unmanned Aerial Systems, Usability Engineering, User Experience, User Experience Design, User Interface Design, User-centered design, Vehicle Safety, Virtual Environments, Virtual Reality, Virtual reality, Wayfinding, Wearable computers.

Walker's notable publications include ""Theory of Sonification,"" ""Spearcons (Speech-Based Earcons) Improve Navigation Performance in Advanced Auditory Menus,"" ""Swan: System for Wearable Audio Navigation,"" and ""Mappings and Metaphors in Auditory Displays: An Experimental Assessment."" His research has focused on developing accessible and usable technologies, including sonification, auditory displays, and augmented reality. He has also explored the use of affective computing, machine learning, and deep learning in various applications.

Walker's work has had a significant impact on the field of human-computer interaction, accessibility, and assistive technology. His research has led to the development of new technologies and methods for improving user experience, including sonification, auditory menus, and wearable audio navigation. His work has also contributed to our understanding of human factors, cognitive psychology, and affective computing, and has informed the design of more usable and accessible systems."
24,Calton Pu,"Calton Pu is a renowned researcher with a broad range of interests and contributions in the field of computer science. His research areas include adaptive systems, cloud computing, database systems, distributed systems, machine learning, and cybersecurity. 

Pu's notable publications demonstrate his expertise in developing innovative solutions to complex problems. For instance, his work on StackGuard, a system for preventing buffer overflow attacks, has had a significant impact on the field of computer security. Additionally, his research on cloud computing, such as Mistral, which dynamically manages power, performance, and adaptation cost in cloud infrastructures, showcases his ability to tackle real-world challenges. His work on machine learning, including the development of a feedback-driven proportion allocator for real-rate scheduling, highlights his expertise in applying machine learning techniques to optimize system performance. Overall, Pu's research has had a profound influence on the development of adaptive systems, cloud computing, and cybersecurity, and his contributions continue to shape the field of computer science."
25,Cecilia Testart,"Cecilia Testart is a researcher with a focus on Internet infrastructure security, routing security, and autonomous systems. Her work primarily revolves around understanding and mitigating threats to the global routing table, such as BGP hijacking, and improving the overall resilience of the Internet. Testart's research also explores the intersection of technology and policy, examining the institutional ecosystem and governance structures that shape the Internet.

Through her research, Testart has made significant contributions to the field of Internet security, including the development of methods to detect and prevent BGP hijacking, the analysis of the benefits and challenges of registering in the RPKI (Resource Public Key Infrastructure), and the exploration of ways to improve the security and resilience of the Internet through the creation of trust zones. Her work has also shed light on the complexities of Internet governance and the need for more effective policies and frameworks to ensure the security and stability of the global routing table."
26,Christopher A. Le Dantec,"Christopher A. Le Dantec is a researcher with a diverse range of interests and contributions to the fields of Human-Computer Interaction (HCI), Computer Supported Cooperative Work (CSCW), and Community-Based Research. His work focuses on the intersection of technology, social justice, and community engagement, with a particular emphasis on marginalized communities and civic participation. 

Le Dantec's research explores the design and use of technology to support community engagement, civic participation, and social change. He has investigated various topics, including crowdsourcing, digital civics, participatory design, and trust in technology. His work often employs ethnographic and qualitative methods to understand the experiences and perspectives of community members and civic activists. Notable publications include ""Infrastructuring and the formation of publics in participatory design,"" ""Digital civics: Citizen empowerment with and through technology,"" and ""Going the Distance: Trust Work for Citizen Participation."" Le Dantec's research has significant implications for the design and development of civic technology, community engagement, and social justice initiatives."
27,Christopher J. MacLellan,"Christopher J. MacLellan is a researcher with a broad range of interests in artificial intelligence, cognitive science, and education. His key research areas include adaptive instruction, adaptive tutoring systems, cognitive modeling, and human learning. MacLellan has made significant contributions to the development of intelligent tutoring systems, authoring tools, and cognitive architectures that can learn and adapt to individual students' needs.

Notable publications by MacLellan include the development of the SimStudent architecture, which closes the loop between learning theory and educational data, and the TRESTLE model, which provides a framework for incremental learning in structured domains. His work on cognitive modeling has also explored the use of neural networks to learn cognitive models and the development of a computational aid for problem formulation in early conceptual design. Additionally, MacLellan has investigated the use of machine learning and deep learning techniques in educational settings, including the development of a framework for natural cognitive system training interactions and the use of extracted features to inform alignment-driven design ideas in educational games. His research has had a significant impact on the field of educational technology and has the potential to improve student learning outcomes."
28,Cindy Lin Kaiying,"Cindy Lin Kaiying is a researcher with a diverse range of interests and expertise in various fields, including Human-Computer Interaction (HCI), Artificial Intelligence, Ambient Systems, and Sustainability research. Her work focuses on the intersection of technology, society, and environment, with a particular emphasis on the democratization of technology, digital labor, and environmental impact assessment. 

Lin Kaiying's research explores the complexities of technological development and its effects on society, often taking a critical and interdisciplinary approach. Her notable publications include ""Technoprecarious,"" ""Digital Precarity Manifesto,"" and ""Digital Energetics,"" which highlight the need for a more nuanced understanding of the relationships between technology, labor, and the environment. Her work also engages with feminist theory, postcolonial studies, and decolonial studies, demonstrating a commitment to critically examining the power dynamics and inequalities that shape technological development."
29,Cindy Xiong Bearfield,"Cindy Xiong Bearfield is a researcher with a diverse range of interests and expertise in various fields, including cognitive psychology, computer science, and data visualization. Her research focuses on understanding how people perceive and interpret visual information, with a particular emphasis on the role of cognitive biases and visual design in shaping our understanding of data. Some of her key research areas include:

* Cognitive biases in data visualization, including the illusion of causality, confirmation bias, and the impact of visual design on trust and perceived bias.
* Visual perception and cognition, including the role of attention, perception, and memory in shaping our understanding of visual information.
* Data visualization, including the design of effective visualizations, the impact of visual design on trust and perceived bias, and the role of metadata in communicative data visualization.

Some of her notable publications include studies on the curse of knowledge in visual data communication, the illusion of causality in visualized data, and the impact of visual design on trust and perceived bias in machine learning. Her work has been influential in the fields of cognitive psychology, computer science, and data visualization, and has implications for the design of effective visualizations and the development of more transparent and trustworthy AI systems.

Overall, Cindy Xiong Bearfield's research has made significant contributions to our understanding of how people perceive and interpret visual information, and has highlighted the importance of considering cognitive biases and visual design in the development of effective visualizations and AI systems. Her work has the potential to inform the design of more effective visualizations, improve our understanding of cognitive biases, and promote more transparent and trustworthy AI systems."
30,Clio Andris,"Clio Andris is a researcher with a diverse range of interests and expertise in various fields, including Accessibility research, Agent-Based Modeling, Bayesian Inference, Clustering, Community Sociology, Complex Systems, Computational Epidemiology, Computational Geography, and more. Her research focuses on understanding complex systems, human behavior, and social networks, often using computational and data-driven approaches.

Some of her notable contributions include developing methods for characterizing network structure and node importance in Spatial Social Networks, analyzing the interplay between bus, metro, and cab ridership dynamics, and understanding the impact of COVID-19 on biodiversity conservation and community networks. Her work also explores the use of social media and mobile phone data to study human behavior, migration patterns, and social networks in geographic space. Additionally, she has developed tools and methods for geospatial privacy and security, and has applied her research to real-world problems such as COVID-19 risk assessment and urban planning. Overall, Clio Andris's research has a significant impact on our understanding of complex systems, human behavior, and social networks, and has the potential to inform policy and decision-making in various fields."
31,Constantine Dovrolis,"Constantine Dovrolis is a prominent researcher in the field of computer science, with a focus on network architecture, performance, and security. His research contributions span a wide range of topics, including adaptive streaming, bandwidth estimation, network congestion control, and internet measurement. 

Dovrolis has made significant contributions to the understanding of network dynamics, particularly in the areas of bandwidth estimation, network congestion control, and internet measurement. His work has led to the development of new tools and methodologies for measuring and analyzing network performance, such as Pathload and ShaperProbe. He has also explored the impact of network dynamics on network performance, including the effects of interrupt coalescence and layer-2 store-and-forward devices. Additionally, Dovrolis has investigated the role of clean-slate research in shaping the future of the internet, and has proposed new architectures and protocols for improving network performance and security. His work has been recognized through numerous publications in top-tier conferences and journals, and has had a significant impact on the field of network research."
